"model"	"gene.flow.intensity.per.generation"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"4-way"	"10-5 to 10-2"	5	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.016256170709698	0.0138568333164168	0.000159244121237858	0.000158868152672295	0.996054421768708	0.995382165605096	0.712871287128713	0.712871287128713
"4-way"	"10-5 to 10-2"	6	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0164584668064627	0.0151421845451012	0.000135568611930475	0.000128841777929185	0.995217218015146	0.994375540813383	0.63265306122449	0.602040816326531
"4-way"	"10-5 to 10-2"	7	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0150474808874966	0.0143794192199938	0.000195797474212583	0.000200115622359586	0.99733845926364	0.997525900726767	0.830188679245283	0.849056603773585
"4-way"	"10-5 to 10-2"	8	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0138073510718238	0.0124217423742742	0.000129931158141378	0.000140566374360693	0.99607904642409	0.996518105849582	0.705882352941177	0.764705882352941
"4-way"	"10-5 to 10-2"	9	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.016551210006147	0.0157651819922328	0.000167844484455857	0.000156824136977171	0.995390491241933	0.994473611494888	0.6875	0.642857142857143
"4-way"	"10-5 to 10-2"	10	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0137009769468653	0.0121026720612261	0.00012738965420298	0.000131574619255946	0.99647322859891	0.996376155100562	0.725	0.75
"4-way"	"10-5 to 10-4"	1	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0125620975851356	0.011941932758194	0.000157589037806361	0.000157492519105342	1	1	1	1
"4-way"	"10-5 to 10-4"	2	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0145269853420729	0.0149307873490106	0.000148568579508112	0.000148627712770647	0.99826659733056	0.998312805803948	0.855072463768116	0.855072463768116
"4-way"	"10-5 to 10-4"	3	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0116959064327485	0.0115256621165124	0.000346657020558269	0.000344087101756854	0.99914089347079	0.998910438003922	0.971830985915493	0.964788732394366
"4-way"	"10-5 to 10-4"	4	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0159040331373437	0.0141419412554048	0.000119485614429879	0.000119278365886387	0.999686961965879	0.999648567914251	0.96	0.96
"4-way"	"10-5 to 10-4"	5	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0127045925435992	0.0112301083984399	0.000195416726168554	0.000202637286761781	0.999014001183199	0.999554466473602	0.939759036144578	0.975903614457831
"4-way"	"10-5 to 10-4"	6	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0137734415550223	0.0129454297647174	0.000110327949830872	0.000110237838135778	0.999453850354997	0.999419392297271	0.936170212765957	0.936170212765957
