topo_target	topo_source1	topo_source2	nadmix
39_G	39_G	39_G	0
39_H	39_H	39_H	2
39_I	39_I	39_I	0
39_J	39_J	39_J	0
39_K	39_K	39_K	0
39_L	39_L	39_L	3
39_M	39_M	39_M	2
40_A	40_A	40_A	0
40_B	40_B	40_B	0
40_C	40_C	40_C	0
40_D	40_D	40_D	0
40_E	40_E	40_E	2
40_F	40_F	40_F	0
40_G	40_G	40_G	2
40_H	40_H	40_H	2
40_I	40_I	40_I	0
40_J	40_J	40_J	3
40_K	40_K	40_K	2
40_L	40_L	40_L	0
40_M	40_M	40_M	0
