topo_target	topo_source1	topo_source2	sampling_time
38_H	38_H	38_H	464
38_I	38_I	38_I	0
38_J	38_J	38_J	252
38_K	38_K	38_K	464
38_L	38_L	38_L	252
38_M	38_M	38_M	423
39_A	39_A	39_A	244
39_B	39_B	39_B	93
39_C	39_C	39_C	549
39_D	39_D	39_D	476
39_E	39_E	39_E	93
39_F	39_F	39_F	181
39_G	39_G	39_G	244
39_H	39_H	39_H	0
39_I	39_I	39_I	244
39_J	39_J	39_J	244
39_K	39_K	39_K	128
39_L	39_L	39_L	93
39_M	39_M	39_M	93
40_A	40_A	40_A	379
40_B	40_B	40_B	419
40_C	40_C	40_C	379
40_D	40_D	40_D	506
40_E	40_E	40_E	132
40_F	40_F	40_F	532
40_G	40_G	40_G	132
40_H	40_H	40_H	132
40_I	40_I	40_I	419
40_J	40_J	40_J	0
40_K	40_K	40_K	132
40_L	40_L	40_L	263
40_M	40_M	40_M	419
