simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
1	23_24_31_33_41	5	3	3	0.29920431	2	2	0.386107365
3	23_24_31_33_41	5	3	3	0.325622453	3	3	0.010417972
7	23_24_33_40_41	5	3	3	0.371077196	3	2	0.017374425
5	23_31_33_40_41	5	3	3	0.379533824	3	3	0.207344559
5	23_24_31_33_40	5	3	3	0.428308012	2	2	0.181868178
3	23_24_31_40_41	5	3	3	0.465096799	3	3	0.010596898
2	23_24_31_40_41	5	3	3	0.500779445	2	2	0.011085599
1	23_24_31_33_40	5	3	3	0.634713335	2	2	0.386023869
6	23_24_31_40_41	5	3	3	0.836426933	3	1	0.02213866
9	23_24_31_33_41	5	4	1	0.075667408	2	2	0.030051031
9	23_24_31_40_41	5	4	3	0.148699148	2	2	0.029704479
3	23_31_33_40_41	5	4	3	0.342579928	4	2	0.018783355
3	24_31_33_40_41	5	4	3	0.376781847	3	2	0.111774939
9	23_31_33_40_41	5	4	4	0.018633381	3	2	0.026622087
9	23_24_33_40_41	5	4	4	0.031222669	2	2	0.029828635
10	23_24_31_33_41	5	4	4	0.127888777	2	2	0.102106633
10	23_24_31_40_41	5	4	4	0.264158637	2	2	0.103192482
7	23_31_33_40_41	5	4	4	0.275228022	3	3	0.056974481
3	23_24_33_40_41	5	4	4	0.725076661	3	3	0.213409232
8	23_24_33_40_41	5	not finished	NA	NA	2	2	0.544723066
9	23_24_31_33_40	5	not finished	NA	NA	3	2	0.010445059
9	25central	6	2	2	0.01086878	2	2	0.071397827
2	24central	6	2	2	0.013395241	3	2	0.392002602
8	41central	6	2	2	0.014367791	2	2	0.441027546
1	23central	6	2	2	0.014761751	2	2	0.192028828
5	42central	6	2	2	0.01536835	2	2	0.133714401
7	23central	6	2	2	0.021085911	2	2	0.025920587
6	24central	6	2	2	0.022112901	2	2	0.156317233
10	23central	6	2	2	0.032121069	2	2	0.494344449
4	25central	6	2	2	0.032199454	2	2	0.202036476
5	25central	6	2	2	0.032684272	2	2	0.239983578
8	33central	6	2	2	0.03685291	2	2	0.30809836
6	31central	6	2	2	0.042503326	2	2	0.020573097
1	40central	6	2	2	0.049942635	2	2	0.121043174
4	23central	6	2	2	0.059504379	2	2	0.097348831
8	42central	6	2	2	0.064087177	2	2	0.096620272
6	25central	6	2	2	0.065152533	2	2	0.243137928
4	42central	6	2	2	0.126406169	2	2	0.747710715
9	40central	6	2	2	0.135844427	2	2	0.439126256
4	23_24_31_33_40_41	6	2	2	0.145264679	3	3	0.023966263
5	34central	6	2	2	0.159255211	2	2	0.536352694
4	41central	6	2	2	0.194222772	2	1	0.028310503
10	40central	6	2	2	0.207312628	2	2	0.014752171
10	42central	6	2	2	0.210030749	2	1	0.536059041
10	24central	6	2	2	0.31989548	2	2	0.536908336
4	33central	6	2	2	0.389886171	2	2	0.02808945
3	33central	6	2	2	0.474625784	2	2	0.933339362
9	33central	6	2	2	0.490615901	2	2	0.398953573
1	31central	6	2	2	0.528390517	2	2	0.434681328
6	23_24_31_33_40_41	6	2	2	0.938954228	2	2	0.96524683
6	42central	6	3	2	0.028410916	3	3	0.888108927
9	41central	6	3	2	0.105152602	2	2	0.650206383
9	31central	6	3	2	0.141471709	2	2	0.050073685
1	41central	6	3	2	0.145981958	2	2	0.47756598
8	31central	6	3	3	0.018314129	2	2	0.08924449
10	33central	6	3	3	0.01922179	2	2	0.035685229
3	24central	6	3	3	0.020811793	2	2	0.105352485
5	23_24_31_33_40_41	6	3	3	0.026746243	2	2	0.185338015
9	23central	6	3	3	0.028191043	2	2	0.057575264
7	41central	6	3	3	0.046851978	3	2	0.793942242
7	25central	6	3	3	0.049166009	3	2	0.129399907
7	23_24_31_33_40_41	6	3	3	0.052465991	3	3	0.056981242
4	24central	6	3	3	0.064837072	2	2	0.408962796
5	24central	6	3	3	0.065392379	2	2	0.016258703
1	25central	6	3	3	0.074475329	2	2	0.061873983
10	41central	6	3	3	0.094471292	2	2	0.018562478
2	25central	6	3	3	0.106673855	2	2	0.143741702
1	34central	6	3	3	0.121834238	2	2	0.010496116
2	23central	6	3	3	0.133200754	2	2	0.147143442
8	23_24_31_33_40_41	6	3	3	0.133404411	2	2	0.54300001
2	42central	6	3	3	0.139202153	2	2	0.038057014
6	34central	6	3	3	0.143588532	2	2	0.069237815
7	40central	6	3	3	0.145017137	2	2	0.771105679
7	24central	6	3	3	0.145324723	2	2	0.133086868
5	33central	6	3	3	0.14958109	2	2	0.320628048
2	23_24_31_33_40_41	6	3	3	0.160564462	2	2	0.01107579
2	40central	6	3	3	0.166748917	3	3	0.907321806
3	34central	6	3	3	0.176030162	2	2	0.069476788
3	42central	6	3	3	0.198032983	2	2	0.31314057
1	42central	6	3	3	0.237177791	3	2	0.201438174
2	31central	6	3	3	0.239988261	3	3	0.619351162
10	25central	6	3	3	0.254907826	2	2	0.187522039
5	23central	6	3	3	0.258342398	3	2	0.059410804
5	40central	6	3	3	0.275442084	2	2	0.681047117
1	23_24_31_33_40_41	6	3	3	0.311961142	2	2	0.384281889
5	31central	6	3	3	0.343545357	2	2	0.192644288
3	25central	6	3	3	0.346608337	2	2	0.192288295
5	41central	6	3	3	0.413911524	3	2	0.358701744
4	40central	6	3	3	0.421564439	2	2	0.011259034
10	34central	6	3	3	0.462019839	2	2	0.010375295
6	33central	6	3	3	0.46463361	2	2	0.473582851
2	34central	6	3	3	0.545866621	2	2	0.05188741
8	25central	6	3	3	0.571676285	2	2	0.178946597
8	34central	6	3	3	0.618169253	2	2	0.301281153
4	34central	6	3	3	0.807371966	2	2	0.163451473
8	40central	6	3	3	0.85512187	2	2	0.285525732
8	24central	6	4	3	0.039890892	2	2	0.267122321
3	41central	6	4	3	0.111724804	3	3	0.055337527
9	23_24_31_33_40_41	6	4	4	0.010342281	2	2	0.029717099
9	34central	6	4	4	0.038815391	3	1	0.618574571
3	31central	6	4	4	0.046795016	3	3	0.422935134
6	41central	6	4	4	0.050819738	2	2	0.319368162
4	31central	6	4	4	0.064107254	2	2	0.091408093
10	23_24_31_33_40_41	6	4	4	0.071947047	2	2	0.103502389
1	24central	6	4	4	0.073694692	2	2	0.062438824
6	40central	6	4	4	0.10048692	2	2	0.779427801
2	33central	6	4	4	0.137841413	3	3	0.127049221
9	24central	6	4	4	0.150613109	2	2	0.5485041
7	33central	6	4	4	0.384707862	3	3	0.91458077
3	23central	6	4	4	0.508008117	3	2	0.058043301
3	23_24_31_33_40_41	6	4	4	0.563301345	3	3	0.010147554
